,match_id,home_team,away_team,prematch_url,refreshed_at,odds_1,odds_X,odds_2,1X2 Vig,1X2 timestamp,odds_1X,odds_X2,odds_12,DC Vig,DC timestamp,odds_gol,odds_nogol,G/NG timestamp,G/NG Vig,odds_under_2.5,odds_over_2.5,U/O 2.5 timestamp,U/O 2.5 Vig
29,28018256,Lille,Angers,https://www.snai.it/sport/CALCIO/LIGUE%201/LILLE%20-%20ANGERS,2021-11-04 09:24:32.745712,1.75,3.5,4.75,6.33802816901407,2021-11-03 11:27:25,1.16,2.0,1.28,6.6867772750125765,2021-11-03 11:27:25,1.88,1.82,2021-11-03 11:27:25,7.524324324324309,1.7,2.0,2021-11-03 07:22:37,8.10810810810812
30,28018252,Bordeaux,Psg,https://www.snai.it/sport/CALCIO/LIGUE%201/BORDEAUX%20-%20PSG,2021-11-04 09:24:38.931785,9.0,5.5,1.3,5.852231163130928,2021-11-03 11:27:31,3.3,1.04,1.13,6.956167078524984,2021-11-03 11:27:31,1.77,1.92,2021-11-03 11:27:31,7.902439024390249,2.55,1.45,2021-11-02 08:35:17,7.562499999999999
31,28018260,Marsiglia,Metz,https://www.snai.it/sport/CALCIO/LIGUE%201/MARSIGLIA%20-%20METZ,2021-11-04 09:24:45.333699,1.4,4.75,7.25,5.903878994876795,2021-11-03 11:27:38,1.07,2.8,1.16,7.140490568054289,2021-11-03 11:27:38,1.87,1.85,2021-11-03 11:27:38,7.002688172042987,2.15,1.63,2021-11-04 08:24:45,7.288359788359784
32,28018258,Lorient,Brest,https://www.snai.it/sport/CALCIO/LIGUE%201/LORIENT%20-%20BREST,2021-11-04 09:24:51.650079,2.45,3.15,2.95,6.068592057761731,2021-11-03 11:27:44,1.35,1.5,1.33,7.376837761155541,2021-11-03 11:27:44,1.65,2.1,2021-11-04 08:24:51,7.599999999999999,1.83,1.87,2021-11-04 08:24:51,7.510810810810799
33,28018318,Nizza,Montpellier,https://www.snai.it/sport/CALCIO/LIGUE%201/NIZZA%20-%20MONTPELLIER,2021-11-04 09:25:17.735292,1.55,4.5,5.25,5.469506292352368,2021-11-03 11:28:10,1.14,2.35,1.18,6.984640734420064,2021-11-03 11:28:10,1.6,2.15,2021-11-03 11:28:10,8.266666666666662,2.25,1.55,2021-11-01 20:20:13,8.223684210526322
34,28933518,Sheriff Tiraspol,Inter,https://www.snai.it/sport/CALCIO/CHAMPIONS%20LEAGUE/SHERIFF%20TIRASPOL%20-%20INTER,2021-11-03 18:25:55.059919,10.0,5.25,1.32,4.584882280049573,2021-11-03 11:29:24,3.25,1.04,1.14,6.821754165356806,2021-11-03 11:29:24,1.85,1.87,2021-11-03 11:29:24,7.002688172042987,2.4,1.5,2021-11-02 10:29:42,7.692307692307685
35,28160064,Spezia,Torino,https://www.snai.it/sport/CALCIO/SERIE%20A/SPEZIA%20-%20TORINO,2021-11-04 09:44:03.254262,3.3,3.45,2.15,5.482189400521292,2021-11-03 16:41:14,1.67,1.3,1.3,6.422413793103435,2021-11-03 16:41:14,1.65,2.1,2021-11-04 08:12:28,7.599999999999999,1.9,1.8,2021-11-04 08:12:28,7.567567567567576
36,28160068,Venezia,Roma,https://www.snai.it/sport/CALCIO/SERIE%20A/VENEZIA%20-%20ROMA,2021-11-04 09:44:22.077205,5.75,4.5,1.53,4.737412019491056,2021-11-03 16:41:34,2.45,1.12,1.19,6.601261387526282,2021-11-03 16:41:34,1.7,2.05,2021-11-01 18:27:02,7.066666666666677,2.15,1.63,2021-11-03 16:41:34,7.288359788359784
37,27883276,Mainz,Monchengladbach,https://www.snai.it/sport/CALCIO/BUNDESLIGA/MAINZ%20-%20MONCHENGLADBACH,2021-11-04 09:16:52.396335,2.55,3.55,2.6,5.523331660812842,2021-11-03 17:22:46,1.47,1.5,1.28,6.023374288282896,2021-11-03 17:22:46,1.55,2.3,2021-11-03 07:21:12,7.402597402597404,2.05,1.67,2021-11-03 07:21:12,7.970430107526886
38,28933412,Milan,Porto,https://www.snai.it/sport/CALCIO/CHAMPIONS%20LEAGUE/MILAN%20-%20PORTO,2021-11-03 18:25:15.668661,2.0,3.55,3.8,4.292302234835048,2021-11-03 17:25:15,1.25,1.77,1.28,6.8129843207581295,2021-11-03 17:25:15,1.55,2.3,2021-11-03 17:25:15,7.402597402597404,2.1,1.65,2021-11-03 17:25:15,7.599999999999999
